filename,company,domain,region,product,incident,risk,revenue_usd,cost_usd,sla_pct,ticket_backlog,quarter
doc_0001_support_ap-south.txt,Nova Security Systems,support,ap-south,Atlas,cost-overrun,medium,132192,72148,95,225,2023-Q3
doc_0002_support_us-west.txt,Nova Security Systems,support,us-west,Sierra,api-latency,critical,121579,87214,87,133,2024-Q1
doc_0003_risk_us-west.txt,Granite Finance Hub,risk,us-west,Atlas,vendor-delay,low,131600,73251,95,390,2024-Q3
doc_0004_compliance_us-west.txt,Granite Finance Hub,compliance,us-west,Pulse,vendor-delay,medium,141216,91274,90,352,2023-Q4
doc_0005_hr_us-west.txt,Nova Security Systems,hr,us-west,Pulse,policy-violation,medium,123549,83518,87,120,2025-Q2
doc_0006_ops_us-west.txt,Nova Security Systems,ops,us-west,Sierra,vendor-delay,high,126162,74920,89,414,2025-Q3
doc_0007_risk_eu-north.txt,Granite Finance Hub,risk,eu-north,Orion,cost-overrun,critical,149756,77669,91,110,2025-Q2
doc_0008_engineering_eu-central.txt,Northstar Analytics,engineering,eu-central,Quasar,none,high,152336,96144,91,118,2024-Q4
doc_0009_sales_latam.txt,Arctic Mobility,sales,latam,Sierra,policy-violation,low,144815,82788,94,356,2025-Q1
doc_0010_compliance_ap-south.txt,Vertex Retail,compliance,ap-south,Orion,policy-violation,critical,133382,72051,89,170,2024-Q3
doc_0011_support_us-east.txt,Nova Security Systems,support,us-east,Atlas,renewal-risk,medium,137141,82640,88,110,2024-Q2
doc_0012_sales_us-west.txt,Apex Bio Labs,sales,us-west,Sierra,security-alert,low,152676,93997,88,80,2024-Q4
doc_0013_support_latam.txt,Vertex Retail,support,latam,Orion,cost-overrun,critical,151809,95194,93,269,2024-Q1
doc_0014_ops_us-east.txt,Granite Finance Hub,ops,us-east,Orion,none,medium,139700,98759,88,43,2024-Q1
doc_0015_ops_eu-north.txt,Arctic Mobility,ops,eu-north,Pulse,quota-miss,medium,146490,74671,92,80,2024-Q3
doc_0016_compliance_eu-central.txt,Arctic Mobility,compliance,eu-central,Quasar,renewal-risk,medium,131338,100817,91,374,2024-Q4
doc_0017_compliance_ap-south.txt,Arctic Mobility,compliance,ap-south,Orion,policy-violation,critical,152134,85030,96,396,2025-Q1
doc_0018_ops_ap-south.txt,Northstar Analytics,ops,ap-south,Quasar,cost-overrun,high,121743,92656,93,328,2024-Q2
doc_0019_support_us-east.txt,Apex Bio Labs,support,us-east,Sierra,cost-overrun,critical,138645,94663,100,385,2023-Q4
doc_0020_engineering_eu-north.txt,Northstar Analytics,engineering,eu-north,Zenith,policy-violation,critical,125228,100258,100,392,2024-Q3
doc_0021_support_latam.txt,Arctic Mobility,support,latam,Orion,policy-violation,high,129896,99121,93,75,2023-Q2
doc_0022_risk_ap-south.txt,Helios Media Group,risk,ap-south,Nimbus,none,low,136903,101363,91,165,2024-Q2
doc_0023_support_latam.txt,Granite Finance Hub,support,latam,Sierra,policy-violation,low,143573,100922,93,41,2025-Q4
doc_0024_support_ap-south.txt,Helios Media Group,support,ap-south,Orion,renewal-risk,low,145508,102157,89,345,2025-Q1
doc_0025_ops_us-west.txt,Granite Finance Hub,ops,us-west,Sierra,renewal-risk,medium,122871,94048,93,183,2024-Q2
doc_0026_ops_us-east.txt,Northstar Analytics,ops,us-east,Sierra,security-alert,critical,142513,83603,89,406,2024-Q4
doc_0027_compliance_us-west.txt,Blue Delta Logistics,compliance,us-west,Orion,security-alert,low,133876,83602,90,137,2024-Q2
doc_0028_hr_us-west.txt,Arctic Mobility,hr,us-west,Cobalt,policy-violation,medium,134861,80526,89,315,2023-Q3
doc_0029_engineering_eu-north.txt,Granite Finance Hub,engineering,eu-north,Atlas,security-alert,low,128778,96714,100,124,2025-Q2
